,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size,Product url
61,New balance - 5740 - multi,New Balance,Multi,,Suede Upper with Rubber Sole,1799,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2223400/original.jpg,women,"UK 3, UK 4, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/new-balance-5740-multi/689832
62,Rs-curve tones wn's - marshmallow-shifting sand-eggnog,PUMA,marshmallow-shifting sand-eggnog,Code 375783 01,Mesh Upper with Suede & Leather Overlays,1424,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2221088/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, UK 3, ",https://superbalist.com/women/shoes/sneakers/rs-curve-tones-wn-s-375783-01-marshmallow-shifting-sand-eggnog/689563
63,S-astico low cut w sneakers - aqua sky,Diesel,Aqua sky,Code y02366-pr189-t6259,Canvas Upper with Rubber sole,1539,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2066120/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/s-astico-low-cut-w-sneakers-y02366-pr189-t6259-aqua-sky/672720
64,S-astico low cut w sneakers - faded rose,Diesel,Faded rose,Code y02366-pr189-t4161,Canvas Upper with Rubber sole,1539,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2066103/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/s-astico-low-cut-w-sneakers-y02366-pr189-t4161-faded-rose/672719
65,S-astico mc wedge sneakers - raspberry sorbet,Diesel,Raspberry sorbet,Code y02492-pr189-t4229,Textile Upper with Rubber sole,2729,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2066778/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/s-astico-mc-wedge-sneakers-y02492-pr189-t4229-raspberry-sorbet/672721
66,S-astico mc wedge sneakers - glacier grey,Diesel,Glacier grey,Code y02492-pr189-t8056,Textile Upper with Rubber sole,2729,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2066809/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/s-astico-mc-wedge-sneakers-y02492-pr189-t8056-glacier-grey/672722
67,Cruise rider ocean road wn's - puma white-nimbus cloud-elektro green,PUMA,"Puma White, Nimbus Cloud & Elektro Green",Code 380636 02,Textile Upper with Synthetic Overlays & Rubber Sole,1274,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2216301/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/cruise-rider-ocean-road-wn-s-380636-02-puma-white-nimbus-cloud-elektro-green/689558
68,Oslo maja metal wn's - puma white-puma aged silver,PUMA,Puma White & Puma Silver,Code 375039 02,Faux Leather Upper with Rubber Sole,1424,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2216212/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/oslo-maja-metal-wn-s-375039-02-puma-white-puma-aged-silver/689560
69,Rs-curve aura wn's - scuba blue-puma silver-puma white,PUMA,"Scuba Blue, Puma Silver & Puma White",Code 375784 01,Mesh Upper with Leather Overlays & Rubber Sole,1424,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2216256/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/rs-curve-aura-wn-s-375784-01-scuba-blue-puma-silver-puma-white/689561
70,Cali star pop wn’s - puma black-puma white-ignite pink-elektro peach,PUMA,"Puma Black, Puma White, Ignite Pink & Elektro Peach",Code 380693 02,Leather Upper with Rubber Sole,1349,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2216327/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/cali-star-pop-wn-s-380693-02-puma-black-puma-white-ignite-pink-elektro-peach/689556
71,Cruise rider ocean road wn's - puma white-fiery coral-elektro peach,PUMA,"Puma White, Fiery Coral & Elektro Peach",Code 380636 01,Textile Upper with Synthetic Overlays & Rubber Sole,1274,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2216278/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, UK 3, ",https://superbalist.com/women/shoes/sneakers/cruise-rider-ocean-road-wn-s-380636-01-puma-white-fiery-coral-elektro-peach/689557
72,Cali sport clean wn's - puma white-puma black,PUMA,Puma White & Puma Black,Code 375407 03,Leather Upper with Rubber Sole,1349,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2216231/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/cali-sport-clean-wn-s-375407-03-puma-white-puma-black/689554
73,Cali star pop wn’s - puma white-ignite pink-elektro peach,PUMA,"Puma White, Ignite Pink & Elektro Peach",Code 380693 01,Leather Upper with Rubber Sole,1349,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2216313/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/cali-star-pop-wn-s-380693-01-puma-white-ignite-pink-elektro-peach/689555
74,Oslo maja metal wn's - puma white-puma team gold,PUMA,Puma White & Puma Gold,Code 375039 01,Faux Leather Upper with Rubber Sole,1424,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2216200/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/oslo-maja-metal-wn-s-375039-01-puma-white-puma-team-gold/689559
75,Puma r78 og - gray violet-puma white-steel gray,PUMA,Gray Violet-Puma White-Steel Gray,Code 380787 02,Mesh & Nylon Upper with Synthetic Leather Overlays & Rubber Sole,824,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2212289/original.jpg,women,"UK 3, UK 4, UK 6, UK 8, UK 5, UK 7, ",https://superbalist.com/women/shoes/sneakers/puma-r78-og-380787-02-gray-violet-puma-white-steel-gray/689530
