,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size,Product url
46,SK8-Hi x Spongebob - imaginaaation,Vans,Imaginaaation,Code VN0A32QGZAW1,Canvas Upper with Waffle Sole,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2240324/original.jpg,men,"UK 5, UK 6, UK 8, UK 9, UK 10, UK 11, UK 3, UK 4, UK 7, ",https://superbalist.com/men/shoes/sneakers/sk8-hi-x-spongebob-imaginaaation/687012
47,Classic Slip-On x Spongebob - alohabob,Vans,Alohabob,Code VN0A33TBYZ11,Canvas Upper with Waffle Sole,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2240356/original.jpg,men,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/classic-slip-on-x-spongebob-alohabob/687009
48,Cl lthr - pugry3/vecnav/maroon,Reebok,pugry3/vecnav/maroon,Code FV1959,Leather Upper with Rubber Sole,1499,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2197898/original.jpg,men,"UK 5, UK 6, UK 7, UK 9, UK 10, UK 11, UK 12, UK 8, ",https://superbalist.com/men/shoes/sneakers/cl-lthr-fv1959-pugry3-vecnav-maroon/740789
49,Club c revenge mu - white/black/legacr,Reebok,white/black/legacr,Code EF3220,Leather Upper with Rubber Sole,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2197624/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",https://superbalist.com/men/shoes/sneakers/club-c-revenge-mu-ef3220-white-black-legacr/740790
50,Authentic x SpongeBob - airbrush,Vans,Airbrush,Code VN0A5HZSZAS1,Canvas Upper with Waffle Sole,1099,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2240285/original.jpg,men,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/authentic-x-spongebob-airbrush/687008
51,Tect - shamrock,G-Star RAW,shamrock,Code D19261-8701-2199,Canvas Upper with Rubber Sole,1999,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2221160/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",https://superbalist.com/men/shoes/sneakers/tect-shamrock/670393
52,Tect - matt asphalt,G-Star RAW,matt asphalt,Code D19261-8701-4677,Canvas Upper with Rubber Sole,1999,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2221173/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",https://superbalist.com/men/shoes/sneakers/tect-matt-asphalt/670394
53,Tect pro q2 - industrial grey,G-Star RAW,Industrial Grey,Code D20030-8941-1816,Nylon Upper with Rubber sole,2899,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2221286/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",https://superbalist.com/men/shoes/sneakers/tect-pro-q2-industrial-grey/670396
54,Club c 85 - white/white/elefla,Reebok,White/White/Elefla,Code FV2139,Textile Upper with Rubber Sole,1099,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2198039/original.jpg,men,"UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 5, UK 6, ",https://superbalist.com/men/shoes/sneakers/club-c-85-fv2139-white-white-elefla/740800
55,Club c stacked - black/black/rbkg06,Reebok,black/black/rbkg06,Code FV6426,Leather Upper with Rubber Sole,1499,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2198150/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",https://superbalist.com/men/shoes/sneakers/club-c-stacked-fv6426-black-black-rbkg06/740787
