,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size
61,C-skate vulc camo - desert sage-puma white,PUMA,desert sage-puma white,Code 368887 01,Canvas Upper with Rubber Sole,R999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2238615/original.jpg,men,"UK 6, UK 7, UK 8, UK 12, UK 9, UK 10, UK 11, UK 13, "
62,Suede bloc - puma black-ivory glow,PUMA,puma black-ivory glow,Code 38118302,Suede Upper with Rubber Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2238586/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, "
63,Rs-fast nano - puma black-puma black,PUMA,puma black-puma black,Code 375640 03,Mesh & Nylon Upper with Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2236595/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, "
64,Rs-connect lazer - vaporous gray-nrgy blue,PUMA Select,vaporous gray-nrgy blue,Code 375152 02,Mesh & Suede Upper with Rubber Sole,R2299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2236613/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, "
65,Mirage tech core - peacoat-fiery coral,PUMA,peacoat-fiery coral,Code 381119 03,Mesh & Textile Upper with Rubber Sole,R1899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2236649/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, "
66,Rs-connect aka boku -  puma x aka boku,PUMA Select,Solar power-Puma white,Code 375968_01,Mesh Upper with Rubber Sole,R2499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2235060/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, "
67,Future rider aka boku -  puma x aka boku,PUMA Select,Puma black-Solar power,Code 380169_01,Nylon Upper with Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2235123/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, "
68,Oslo-city re.gen - puma white-nimbus cloud,PUMA,Puma white - Nimbus cloud,Code 375859_01,Leather Upper with Rubber Sole,R2299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2235034/original.jpg,men,"UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 6, "
69,Mirage mox -,PUMA Select,eggnog-fiery coral,,"Mesh, Suede Upper/Rubber Sole",R2299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2071834/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, "
70,Ua old skool - (classic sport) black/waterfall,Vans,Black & Waterfall,Code VN0A3WKT4FV1,Canvas Upper with Suede Overlays & Rubber sole,R899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2233295/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, "
71,5740 - grey,New Balance,Grey,Code M5740CA,Suede & Mesh Upper with Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2233447/original.jpg,men,"UK 6, UK 8, UK 9, UK 10, UK 11, UK 7, "
